id1,id2,label
289,377,階段
289,389,階段
289,401,階段
289,413,階段
289,416,階段
289,421,階段
289,422,階段
289,424,階段
289,426,階段
289,428,階段
289,470,階段
289,482,階段
289,483,階段
289,504,階段
293,295,階段
293,296,階段
293,298,階段
293,300,階段
293,302,階段
293,303,階段
293,310,階段
293,321,階段
293,344,階段
293,364,階段
293,377,階段
293,389,階段
293,401,階段
293,413,階段
293,416,階段
293,421,階段
293,422,階段
293,424,階段
293,426,階段
293,428,階段
293,470,階段
293,482,階段
293,483,階段
293,504,階段
295,296,階段
295,298,階段
295,300,階段
295,302,階段
295,303,階段
295,310,階段
295,321,階段
295,344,階段
295,364,階段
295,377,階段
295,389,階段
295,401,階段
295,413,階段
295,416,階段
295,421,階段
295,422,階段
295,424,階段
295,426,階段
295,428,階段
295,470,階段
295,482,階段
295,483,階段
295,504,階段
296,298,階段
296,300,階段
296,302,階段
296,303,階段
296,310,階段
296,321,階段
296,344,階段
296,364,階段
296,377,階段
296,389,階段
296,401,階段
296,413,階段
296,416,階段
296,421,階段
296,422,階段
296,424,階段
296,426,階段
296,428,階段
296,470,階段
296,482,階段
296,483,階段
296,504,階段
298,300,階段
298,302,階段
298,303,階段
298,310,階段
298,321,階段
298,344,階段
298,364,階段
298,377,階段
298,389,階段
298,401,階段
298,413,階段
298,416,階段
298,421,階段
298,422,階段
298,424,階段
298,426,階段
298,428,階段
298,470,階段
298,482,階段
298,483,階段
298,504,階段
300,302,階段
300,303,階段
300,310,階段
300,321,階段
300,344,階段
300,364,階段
300,377,階段
300,389,階段
300,401,階段
300,413,階段
300,416,階段
300,421,階段
300,422,階段
300,424,階段
300,426,階段
300,428,階段
300,470,階段
300,482,階段
300,483,階段
300,504,階段
302,303,階段
302,310,階段
302,321,階段
302,344,階段
302,364,階段
302,377,階段
302,389,階段
302,401,階段
302,413,階段
302,416,階段
302,421,階段
302,422,階段
302,424,階段
302,426,階段
302,428,階段
302,470,階段
302,482,階段
302,483,階段
302,504,階段
303,310,階段
303,321,階段
303,344,階段
303,364,階段
